RB010,RB020,RB030,RB050,RB050_F,RB080,RB080_F,RB081,RB081_F,RB082,RB082_F,RB090,RB090_F,RB200,RB200_F,RB211,RB211_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RB280,RB280_F,RB290,RB290_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020,vrMATSOCDEP,vrLOWJOB_nuevo,vrEU2030_nuevo,RCH010,RCH010_F,RCH020,RCH020_F,RC370,RC370_F,RC370B,RC370B_F,RC380,RC380_F,RC390,RC390_F
2024,ES,1555203,437.6635,1,2004,1,19,1,19,1,1,1,1,1,5,1, ,-2,1555201,1, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1,0,0,1, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1555204,437.6635,1,2007,1,16,1,16,1,1,1,1,1,5,1, ,-2,1555201,1, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1,0,0,1, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1555205,437.6635,1,2012,1,11,1,11,1,1,1,1,1,5,1, ,-2,1555201,1, ,-2,1,1,1,1, ,-2,25,1,0,1,0,1,0,1,0,1,431.13435,1,0,1,0,0,1,1,1,3,1, ,-4, ,-4,2,1, ,-4
2024,ES,1555301,804.3803,1,1948,1,75,1,76,1,1,1,1,1,3,1, ,-2, ,-2, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1555401,499.29273,1,1942,1,81,1,82,1,1,1,1,1,3,1, ,-2, ,-2, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1555402,499.29273,1,1967,1,56,1,57,1,1,1,1,1,1,1,1555401,1, ,-2, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1555501,512.70294,1,1966,1,57,1,57,1,1,1,1,1,1,1, ,-2, ,-2,1555502,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1555502,512.70294,1,1958,1,65,1,65,1,2,1,1,1,4,1, ,-2, ,-2,1555501,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1555601,814.80173,1,1980,1,43,1,43,1,2,1,1,1,1,1, ,-2, ,-2, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1,1,0,1, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1555701,582.08129,1,1997,1,26,1,26,1,1,1,1,1,1,1,1555703,1,1555702,1, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1555702,582.08129,1,1957,1,66,1,66,1,2,1,1,1,3,1, ,-2, ,-2,1555703,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
