"id_dominio","Freq","estimacion","estimacion_var","CV","estim_EBLUP","estim_EBLUP_ECM","FH_CV","EB","estim_EB_ECM","EB_CV"
"ES43_Female_6+",7,1,0.000201599517645345,0,0.994252336934773,0.000198906509632219,1.41849522382154,0.732296635086573,7.49292311905554e-05,1.18205749141733
"ES43_Male_6+",11,0.58601168085147,0.0225264975483756,25.6118272171689,0.464189424824906,0.00725803360457231,18.3533034495482,0.306525014814188,0.000131107102498228,3.73548664132108
"ES24_Female_6+",16,0.520384998922263,0.0257001343887866,30.8065403302149,0.596416165132379,0.00618340893552536,13.1845277504528,0.244896123016522,1.81914900946059e-06,0.550747110552434
"ES64_Male_1",17,0.380789228713882,0.0227712017448185,39.6285626387022,0.284196501236806,0.00551933236097119,26.1411414163151,0.201250901225667,0.000314700329405454,8.81476553389236
"ES63_Female_1",21,0.200189736229451,0.0106166089021428,51.4696366249439,0.287400289627107,0.00423124188498139,22.6332398146001,0.471681252878858,0.000249823961049308,3.35095371792621
"ES64_Female_1",22,0.146109705206016,0.00632203812306432,54.4188663919186,0.220661245714725,0.00330036980035063,26.0348594009092,0.130748932867676,7.8085606396334e-05,6.75845366481509
"ES12_Female_6+",23,0.310948710346952,0.0151692695143315,39.6089722610673,0.125725430634206,0.00547743778166466,58.8661448444052,0.425679823461558,2.97152628471349e-05,1.28058002216894
"ES63_Male_1",23,0.170263750010178,0.00653806053959912,47.4900114670368,0.164182476942453,0.00397046561480485,38.3790231231577,0.117352852399638,5.40326963387014e-05,6.26375366720919
"ES12_Male_6+",25,0.154650185326839,0.00969592651021292,63.6713726705872,0.15888604548239,0.00451842267298441,42.3065558501567,0.397797235942723,6.53913426949302e-05,2.03281738545508
"ES23_Female_6+",25,0.586617732353936,0.010391786316712,17.37760483524,0.44954929843507,0.00505699291703441,15.8186292886473,0.467637407711239,9.5292305604518e-05,2.08746726163667
"ES53_Female_6+",25,0.165738141520945,0.00660532464317334,49.0370819938941,0.201604644959471,0.00331756441394712,28.5699281338278,0.403231230337556,0.000172395954859273,3.25618727431138
"ES24_Male_6+",27,0.64601236168678,0.0104174698607976,15.7993892106318,0.574464858110835,0.00431981544068043,11.4411355137464,0.294856105928719,7.09971953658829e-05,2.85765944055212
"ES41_Female_6+",27,0.232591871372326,0.00561506114846138,32.2168230787089,0.213001760138399,0.00320845475479486,26.5928428678122,0.46943077089884,0.00018162742773715,2.87090725147894
"ES21_Male_6+",29,0.542215687001055,0.0109277782177592,19.2794152734814,0.566073769557618,0.00451214074028044,11.8663809770817,0.320802175815931,0.000374981844530482,6.0362582965356
"ES23_Male_6+",29,0.755071033781552,0.00623543572475887,10.4579266959228,0.539937496830932,0.00343588219539708,10.8561452083142,0.575102040816327,0.000131307378038239,1.99250608298803
"ES22_Female_6+",30,0.871125414640876,0.00284869010430016,6.12691590164417,0.879160335672778,0.00223141304788879,5.37306256923247,0.621486561484183,5.86673953797166e-05,1.23244248650504
"ES63_Female_5",31,0.250071412177003,0.00628118054311078,31.6925067682663,0.306452273272341,0.00318566171830299,18.4177672778269,0.25292817679558,6.37807808633916e-05,3.15753157767243
"ES63_Male_6+",32,0.728030916899587,0.00716732347288538,11.6286334181523,0.528792117429347,0.00351005586524868,11.2039726944126,0.651182235195997,5.16648391139128e-06,0.349055910745246
"ES13_Female_6+",34,0.248122237325268,0.00679448040266453,33.2209797606179,0.111522044263787,0.00334335023709749,51.8477859314764,0.232446960536441,0.000361582285648543,8.18049721475818
"ES41_Male_6+",34,0.242077943297836,0.00504026841494627,29.327268250249,0.275998805511647,0.00303544764076981,19.9620054815885,0.457285429141717,0.000191519228900905,3.02634774085488
"ES53_Male_6+",35,0.305980438640878,0.00883946054311294,30.7269333163706,0.238837550663321,0.00374602146705457,25.626100331998,0.418118724678527,0.000109223738742176,2.49953315685379
"ES23_Male_5",36,0.207490960709858,0.0056403967194483,36.1955886635522,0.256851738671271,0.00307865004630464,21.6021835855779,0.191655121746432,0.000100081804056593,5.2198393006786
"ES22_Male_6+",39,0.920745613682457,0.00104660744785942,3.51359946140655,0.912335329324174,0.000942177165366562,3.36443230509055,0.718104390427737,6.08380318608886e-05,1.08617548370233
"ES64_Male_2",39,0.0641319703622781,0.00195840676929507,69.0044132864944,0.0890432023659713,0.00148782133401405,43.3186207364327,0.0793873841119796,1.25715689312459e-05,4.46625225748569
"ES64_Male_5",39,0.579381295744811,0.00677290514259617,14.2044043247313,0.504922833052715,0.00369180772642984,12.0335710598568,0.433738419618529,0.000139401277642899,2.72210883027371
"ES13_Male_6+",40,0.132207871983104,0.00352423994330888,44.9030064304179,0.114786387127476,0.00230834368372751,41.8562049056797,0.169075986799811,9.79358238574295e-05,5.85313929458661
"ES21_Female_6+",41,0.516043271685681,0.00805831003705237,17.3954579452267,0.583817621942307,0.00392181573793015,10.7267063793044,0.305187044778692,5.70342103663962e-05,2.47458070763212
"ES64_Female_5",41,0.607124932789684,0.00650641834893447,13.2859594814042,0.498233050211882,0.00347991883707891,11.8400087801742,0.421686492709133,6.03719264063272e-12,0.000582676934743165
"ES42_Male_6+",43,0.596539961970207,0.00609539878355158,13.0876454067754,0.515407045828414,0.00315276259601246,10.8941984832611,0.529971439033321,5.01983927598034e-05,1.33688004454675
"ES23_Female_5",44,0.263315333367713,0.00552739747589955,28.2347663558746,0.23341608181631,0.00300229976450955,23.4744946380388,0.338896717506631,0.00023112683050587,4.48598502522516
"ES63_Male_5",44,0.28619398902087,0.00482075327431404,24.2603434318126,0.263584954013348,0.00277470856265799,19.9842599847827,0.197388828633406,2.13366751109302e-05,2.34013440850117
"ES63_Female_6+",44,0.730130079080986,0.00548624884960945,10.1446603468064,0.531941354153698,0.00307620780300249,10.4266328276041,0.69449088960343,3.86267084145408e-05,0.894905748062418
"ES12_Male_5",46,0.0954426975299983,0.00177431720571698,44.1339629948123,0.10685608452128,0.00138817137918285,34.8676185782619,0.117731830906063,8.65990992111709e-05,7.90428860981979
"ES63_Male_2",48,0.25526842434695,0.0052790943627807,28.4631272770843,0.276820056645334,0.00284546295922599,19.2698757818472,0.133808193668529,4.7294382544587e-05,5.1395142189854
"ES64_Female_2",49,0.107647687255509,0.0021429776121056,43.0035306537189,0.116027867593562,0.00159483577715813,34.4187959929249,0.141729003740224,3.37701825115287e-05,4.10022764597739
"ES64_Female_6+",49,0.764095810991448,0.00517447191165272,9.41423853573626,0.638248460438116,0.00306785912044072,8.67816554189112,0.721742561586861,0.000240695636910459,2.14957098970165
"ES13_Male_5",51,0.286614670988264,0.00493308990856703,24.505360649511,0.251765339175111,0.00279573026123067,21.0015666822987,0.336072569602921,6.33663493304109e-05,2.3686248266527
"ES42_Female_6+",52,0.582208572151734,0.00545160925400612,12.681883653354,0.506102339412584,0.00301552985630096,10.8503431068862,0.503226013206338,0.00016279763813311,2.53548454101405
"ES12_Female_5",54,0.136669240266045,0.00266373175880536,37.7636935001473,0.14167031058592,0.00189509727396112,30.7281848997931,0.128984000890902,9.8372944220214e-05,7.6895688681717
"ES64_Male_3",54,0.218740444464462,0.00348165808621801,26.9751562783692,0.25319439432771,0.0022288269334097,18.6459316253072,0.166247264770241,0.000112865126068527,6.39036076605494
"ES70_Male_6+",54,0.277105752864582,0.00385988819725699,22.4203207096433,0.344198758739902,0.00239860373421557,14.2288549742898,0.374317230155973,2.6394657473221e-05,1.3725184675811
"ES11_Female_6+",56,0.0790468325107926,0.00107996335548193,41.5738301879535,0.0936812612303791,0.000942631400745476,32.7731527673014,0.192926588845655,0.000114122911596609,5.53725260380482
"ES64_Male_6+",58,0.759475063587099,0.00434796471786217,8.68219401972866,0.627851215675439,0.00266966991178709,8.22947336448751,0.662239609624769,1.31838714067787e-05,0.548284951416685
"ES13_Female_5",59,0.266318028125348,0.00362714703133074,22.6142408770698,0.254405675993409,0.00236817014903675,19.1284444781122,0.331799153113271,1.14374916605217e-05,1.01927206562774
"ES70_Female_6+",59,0.237750644818648,0.00303252607228343,23.1622405810954,0.306997264178914,0.00206207644986243,14.7916927077334,0.340542252211117,8.40029610259354e-05,2.69138788687352
"ES64_Male_4",61,0.212702803244959,0.00292773667784507,25.4385757907137,0.186742018248612,0.00199620830582808,23.9254921993308,0.0993789378937894,0.000156818539279671,12.600980838575
"ES63_Female_2",62,0.21359306578418,0.00398811710730924,29.566287923792,0.251512581473745,0.00242485646689183,19.5786752857316,0.0957208463178612,9.44379774262833e-05,10.1523553132509
"ES64_Female_3",63,0.296879681067037,0.00383245070550564,20.852484831939,0.259498813101727,0.00237367054999983,18.7747794925042,0.211970074812968,0.000142316866081157,5.62799409067992
"ES62_Male_6+",69,0.501341460557856,0.00453709298899894,13.4355428463523,0.440585679973976,0.00269798325158448,11.7893333333652,0.3242013567885,3.47160852104988e-05,1.8174000881826
"ES11_Male_6+",71,0.15090076012879,0.0016181085926298,26.6570695214106,0.153786436046265,0.00132057678780727,23.6300041131406,0.22091243690049,5.32055460511711e-06,1.04413892403284
"ES64_Female_4",71,0.239208096281627,0.00269973711610302,21.7212524875575,0.181373237326929,0.0019105931040505,24.0996590352275,0.193485978904039,2.52571595343075e-05,2.59742343544729
"ES62_Female_6+",73,0.506766475054507,0.0041979237797794,12.7852551039866,0.455517323630597,0.00258418660590905,11.1598160851654,0.409514930704386,0.000181768030817394,3.29222122596101
"ES63_Male_3",73,0.178391745499981,0.00316550367900918,31.5389082964483,0.147138043946574,0.00212798347497746,31.3515594120839,0.130212927756654,9.2927982509827e-05,7.40319434559662
"ES63_Female_3",77,0.20921412790599,0.00294208844889283,25.9260798352428,0.183117497453859,0.00202105523823951,24.5504381460898,0.134344023323615,0.000435031323288766,15.5253683814624
"ES23_Male_1",79,0.166584844160064,0.00227524077236026,28.6337477005899,0.174649197189208,0.00168518887927431,23.5048616139654,0.197957060436962,0.000119527094102999,5.52283647554441
"ES52_Male_6+",83,0.471392219589306,0.00425295085059468,13.8344778309436,0.48810753769115,0.0025790241904411,10.4042838823229,0.463034184984299,7.75239642432374e-05,1.90153765935924
"ES53_Male_1",84,0.192817836793963,0.00284768161697348,27.6756933296889,0.187068704637457,0.00195676995758168,23.6466022874424,0.178110516335811,4.38599795892726e-05,3.71830191231536
"ES43_Female_5",86,0.198980192604847,0.00255787648123999,25.4173305818902,0.236373205817882,0.00191066889172143,18.4924507614808,0.212506901060584,3.99778142118419e-05,2.97533920308151
"ES13_Male_1",92,0.119473527374489,0.00122082338684545,29.2452093123201,0.125093320456093,0.00102614392884956,25.607667344522,0.194120715350224,6.15085115322683e-05,4.04013359070469
"ES22_Male_1",93,0.0728453798698047,0.000807740640748796,39.0152105438052,0.0686759484208673,0.000720548382053629,39.0865112146304,0.0925410039418916,0.000127475913525675,12.2005626612163
"ES43_Male_5",94,0.278570083088713,0.00270308640019758,18.6636030933081,0.295485208469516,0.00196934139107783,15.018437750298,0.252402232088554,7.81084001949121e-05,3.50151249259388
"ES53_Male_5",96,0.150349223595857,0.00161435437774721,26.7238021708728,0.162008940636217,0.00129266740292094,22.1924074031881,0.285284227881937,0.000156649008735365,4.38718616378378
"ES63_Male_4",96,0.221635128106121,0.00184369510727836,19.3734049561016,0.224920910484313,0.00142126052103064,16.7612735290073,0.256565470148565,0.000142670407906487,4.65552587749595
"ES63_Female_4",96,0.223869320836691,0.00179365614760959,18.9179909539087,0.237767546286683,0.00140449971668651,15.7618885370649,0.235463189113747,0.000205787312532475,6.09237007106416
"ES24_Female_5",99,0.12935459195325,0.00152172919018583,30.1569096874653,0.151412080294823,0.00123348200865251,23.1956145481837,0.210238685831622,0.000249387579733945,7.5114672326703
"ES52_Female_6+",101,0.506796404220366,0.00354019154180958,11.7403178588463,0.531959235527139,0.00231585255311023,9.046427339322,0.470421104979466,0.000164759816085037,2.72859357112431
"ES42_Male_5",104,0.36690995034369,0.00289218320805606,14.6572808823725,0.335540926507483,0.00202223899241862,13.4020347806464,0.289322292246812,0.000185861631758183,4.71208347668501
"ES62_Male_1",105,0.281717139057152,0.00395121353352875,22.3126925373598,0.264393433581661,0.00247711261182804,18.8244462806337,0.343403154113134,0.000200180235342108,4.12008634775352
"ES22_Female_5",106,0.219776312819472,0.002191008628237,21.298114669101,0.203309945611274,0.00163648167123519,19.8974283082503,0.199662811355643,0.000165819292553121,6.44941535217573
"ES42_Female_5",106,0.340627237142049,0.00287776127090412,15.7488196564158,0.335438867768594,0.00203868836002183,13.4605262143816,0.31017504552616,2.39903822798749e-05,1.57910762113263
"ES70_Female_5",107,0.436043675255396,0.00324915959474662,13.0724060848583,0.410683542380204,0.00214672823957966,11.2818737456207,0.335504337559674,0.000158460359020795,3.7519943738201
"ES61_Male_6+",108,0.627627650001183,0.00279284216901258,8.42017520983087,0.562466705231232,0.00196162729809737,7.8742904203861,0.402453341319021,0.000139298629599463,2.93263412969047
"ES22_Male_5",109,0.129741773820719,0.00143702327432162,29.2181066363768,0.142590395992254,0.00117793257091706,24.0696591446519,0.130789262674491,0.000131588030966485,8.77073728911858
"ES24_Male_5",111,0.181774694910848,0.00185459333349791,23.6914107711544,0.1970545313495,0.00144587239193303,19.2965005647408,0.201903618537501,0.000144058488180651,5.94463677622969
"ES23_Female_1",112,0.186726753280476,0.00190278859980672,23.360854496937,0.201065584505146,0.0014622606159238,19.0184294903842,0.253671969527224,5.86310655214792e-05,3.01850161536419
"ES70_Male_5",113,0.420156869407786,0.00326134544511897,13.5921116275677,0.394041827068258,0.00214411997401725,11.7511999829104,0.297280233481722,8.74045672699723e-05,3.14485792472707
"ES53_Female_5",114,0.124961230778017,0.00120892696322455,27.8243314387754,0.132805702442058,0.00101827493013441,24.0278992646322,0.243400784528756,8.82064970880804e-05,3.85858715304565
"ES70_Male_1",114,0.248234630515494,0.00239608689038176,19.7191827963616,0.267804159739654,0.00174334007231877,15.5909916140388,0.26238554429264,0.000108865777927539,3.97654393861242
